Código Municipio	Municipio 	Código Departamento	Departamento	 Actividades primarias * 	 Actividades secundarias ** 	 Actividades terciarias *** 	" Valor agregado
 "	Peso relativo municipal en el valor agregado departamental (%)
05001	Medellín	05	Antioquia	142	12,247	36,510	 48,899 	 42,4 
05002	Abejorral	05	Antioquia	68	17	110	 195 	 0,2 
05004	Abriaquí	05	Antioquia	4	2	12	 18 	 0,0 
05021	Alejandría	05	Antioquia	7	4	29	 41 	 0,0 
05030	Amagá	05	Antioquia	56	95	204	 355 	 0,3 
05031	Amalfi	05	Antioquia	84	51	512	 648 	 0,6 
05034	Andes	05	Antioquia	144	207	315	 666 	 0,6 
05036	Angelópolis	05	Antioquia	25	7	48	 79 	 0,1 
05038	Angostura	05	Antioquia	33	18	71	 121 	 0,1 
05040	Anorí	05	Antioquia	83	11	102	 195 	 0,2 
05042	Santa Fé de Antioquia	05	Antioquia	25	22	212	 258 	 0,2 
05044	Anzá	05	Antioquia	25	7	39	 71 	 0,1 
05045	Apartadó	05	Antioquia	554	243	1,422	 2,219 	 1,9 
05051	Arboletes	05	Antioquia	54	26	221	 302 	 0,3 
05055	Argelia	05	Antioquia	14	5	42	 61 	 0,1 
05059	Armenia	05	Antioquia	12	4	34	 50 	 0,0 
05079	Barbosa	05	Antioquia	113	370	346	 828 	 0,7 
05086	Belmira	05	Antioquia	16	6	46	 68 	 0,1 
05088	Bello	05	Antioquia	29	1,061	3,598	 4,688 	 4,1 
05091	Betania	05	Antioquia	64	12	65	 142 	 0,1 
05093	Betulia	05	Antioquia	83	17	100	 200 	 0,2 
05101	Ciudad Bolívar	05	Antioquia	91	26	189	 307 	 0,3 
05107	Briceño	05	Antioquia	11	5	44	 61 	 0,1 
05113	Buriticá	05	Antioquia	44	5	39	 88 	 0,1 
05120	Cáceres	05	Antioquia	183	30	250	 462 	 0,4 
05125	Caicedo	05	Antioquia	24	7	48	 79 	 0,1 
05129	Caldas	05	Antioquia	57	292	611	 960 	 0,8 
05134	Campamento	05	Antioquia	5	6	48	 58 	 0,1 
05138	Cañasgordas	05	Antioquia	39	11	97	 147 	 0,1 
05142	Caracolí	05	Antioquia	14	4	33	 51 	 0,0 
05145	Caramanta	05	Antioquia	19	5	36	 61 	 0,1 
05147	Carepa	05	Antioquia	705	101	375	 1,182 	 1,0 
05148	El Carmen de Viboral	05	Antioquia	116	47	355	 518 	 0,4 
05150	Carolina	05	Antioquia	5	3	26	 34 	 0,0 
05154	Caucasia	05	Antioquia	86	82	797	 965 	 0,8 
