Código Municipio	Municipio 	Código Departamento	Departamento	 Actividades primarias * 	 Actividades secundarias ** 	 Actividades terciarias *** 	" Valor agregado
 "	Peso relativo municipal en el valor agregado departamental (%)
05001	Medellín	05	Antioquia	165	12,725	42,139	 55,029 	 42,6 
05002	Abejorral	05	Antioquia	79	20	122	 220 	 0,2 
05004	Abriaquí	05	Antioquia	9	2	14	 24 	 0,0 
05021	Alejandría	05	Antioquia	8	4	33	 45 	 0,0 
05030	Amagá	05	Antioquia	58	192	236	 486 	 0,4 
05031	Amalfi	05	Antioquia	66	60	595	 721 	 0,6 
05034	Andes	05	Antioquia	135	210	344	 689 	 0,5 
05036	Angelópolis	05	Antioquia	32	9	56	 97 	 0,1 
05038	Angostura	05	Antioquia	33	19	75	 127 	 0,1 
05040	Anorí	05	Antioquia	18	12	116	 146 	 0,1 
05042	Santa Fé de Antioquia	05	Antioquia	29	26	243	 297 	 0,2 
05044	Anzá	05	Antioquia	55	10	46	 111 	 0,1 
05045	Apartadó	05	Antioquia	615	307	1,670	 2,593 	 2,0 
05051	Arboletes	05	Antioquia	62	31	254	 347 	 0,3 
05055	Argelia	05	Antioquia	21	7	46	 74 	 0,1 
05059	Armenia	05	Antioquia	13	4	27	 44 	 0,0 
05079	Barbosa	05	Antioquia	103	401	399	 904 	 0,7 
05086	Belmira	05	Antioquia	18	6	48	 73 	 0,1 
05088	Bello	05	Antioquia	33	1,093	4,286	 5,412 	 4,2 
05091	Betania	05	Antioquia	61	12	66	 139 	 0,1 
05093	Betulia	05	Antioquia	97	20	113	 231 	 0,2 
05101	Ciudad Bolívar	05	Antioquia	93	28	206	 328 	 0,3 
05107	Briceño	05	Antioquia	22	6	53	 80 	 0,1 
05113	Buriticá	05	Antioquia	23	5	44	 72 	 0,1 
05120	Cáceres	05	Antioquia	125	34	308	 467 	 0,4 
05125	Caicedo	05	Antioquia	32	9	61	 103 	 0,1 
05129	Caldas	05	Antioquia	61	302	701	 1,064 	 0,8 
05134	Campamento	05	Antioquia	7	6	52	 66 	 0,1 
05138	Cañasgordas	05	Antioquia	29	13	108	 150 	 0,1 
05142	Caracolí	05	Antioquia	7	4	36	 48 	 0,0 
05145	Caramanta	05	Antioquia	15	6	45	 67 	 0,1 
05147	Carepa	05	Antioquia	595	99	436	 1,129 	 0,9 
05148	El Carmen de Viboral	05	Antioquia	52	53	432	 536 	 0,4 
05150	Carolina	05	Antioquia	8	4	30	 41 	 0,0 
05154	Caucasia	05	Antioquia	275	98	953	 1,326 	 1,0 
05172	Chigorodó	05	Antioquia	330	88	577	 996 	 0,8 
